"District","Year","AverageNDVI","MaxNDVI","MinNDVI"
"Chipinge","2016",0.444052575803279,0.615604684,0.297023835
"Chipinge","2017",0.564305704191781,0.736847175,0.380605927
"Chipinge","2018",0.515763396660274,0.71587691,0.350707846
"Chipinge","2019",0.501235017983562,0.674670538,0.355528626
"Chipinge","2020",0.49524380479235,0.663553043,0.278323226
"Chipinge","2021",0.547349838887363,0.737605822,0.396714116
"Chiredzi","2000",0.51402212639322,0.70109886,0.346062582
"Chiredzi","2001",0.519498867731844,0.721823207,0.33279958
"Chiredzi","2002",0.398627153808219,0.647005196,0.304972155
"Chiredzi","2003",0.491404563586301,0.623489609,0.318528594
"Chiredzi","2004",0.479842057349727,0.693864142,0.29731338
"Chiredzi","2005",0.392121448038356,0.584183432,0.268801583
"Chiredzi","2006",0.451674250994521,0.669559172,0.283630943
"Chiredzi","2007",0.440212850468493,0.654493512,0.280031601
"Chiredzi","2008",0.432056862808743,0.696926259,0.294852146
"Chiredzi","2009",0.482288611446575,0.675134339,0.29259264
"Chiredzi","2010",0.483304376479452,0.64245864,0.301524421
"Chiredzi","2011",0.441411149646575,0.656114452,0.28041166
"Chiredzi","2012",0.397031073737705,0.561850002,0.290409119
"Chiredzi","2013",0.436761908435616,0.590759461,0.289623076
"Chiredzi","2014",0.485591995167123,0.688021439,0.302579871
"Chiredzi","2015",0.415723366008219,0.653189591,0.292306665
"Chiredzi","2016",0.395016235756831,0.578640435,0.258449212
"Chiredzi","2017",0.526867132734247,0.724818976,0.326795188
"Chiredzi","2018",0.464722501186301,0.674144422,0.292899498
"Chiredzi","2019",0.413903282345205,0.619751393,0.283555149
"Chiredzi","2020",0.426916121295082,0.625873074,0.306360494
"Chiredzi","2021",0.508665024010989,0.724501828,0.32001426
"Chirumhanzu","2000",0.439668824115254,0.575060072,0.317804813
"Chirumhanzu","2001",0.452612299028249,0.585528471,0.314490966
"Chirumhanzu","2002",0.407255606273973,0.569747598,0.308215134
"Chirumhanzu","2003",0.416589995950685,0.53296843,0.307357509
"Chirumhanzu","2004",0.439231771833333,0.566862955,0.325138731
"Chirumhanzu","2005",0.386262231821918,0.542755884,0.277483468
"Chirumhanzu","2006",0.442698303591781,0.606455168,0.312645812
"Chirumhanzu","2007",0.408383295487671,0.543453544,0.289903196
"Chirumhanzu","2008",0.414853711778689,0.596759621,0.314448065
"Chirumhanzu","2009",0.426372189654795,0.580870971,0.2986338
"Chirumhanzu","2010",0.440325916465753,0.55813363,0.300529024
"Chirumhanzu","2011",0.417055070915068,0.598476383,0.293968549
"Chirumhanzu","2012",0.40689578618306,0.55821891,0.299200579
"Chirumhanzu","2013",0.398232155178082,0.553019369,0.288371912
"Chirumhanzu","2014",0.416061106213699,0.578676245,0.301568514
"Chirumhanzu","2015",0.407051975347945,0.534286596,0.296663371
"Chirumhanzu","2016",0.401086235273224,0.559844242,0.289409726
"Chirumhanzu","2017",0.472892745093151,0.635048961,0.327691435
"Chirumhanzu","2018",0.437644453347945,0.613685269,0.327230205
"Chirumhanzu","2019",0.407156795890411,0.552619323,0.29013737
"Chirumhanzu","2020",0.403312319163934,0.560699498,0.283230131
"Chirumhanzu","2021",0.463002816629121,0.648013009,0.331427862
"Chivi","2000",0.429593427152542,0.625408111,0.314685398
"Chivi","2001",0.437141275153631,0.614243785,0.284753929
"Chivi","2002",0.358783805523288,0.550162953,0.260494425
"Chivi","2003",0.417277587758904,0.545313966,0.302116088
"Chivi","2004",0.414197811713115,0.591905182,0.289054807
"Chivi","2005",0.353403317871233,0.500457461,0.246763538
"Chivi","2006",0.443913364421918,0.629196809,0.281939242
"Chivi","2007",0.404754197643836,0.566654929,0.255474059
"Chivi","2008",0.384458646934426,0.579877882,0.273457638
"Chivi","2009",0.415236957753425,0.595242407,0.28116618
"Chivi","2010",0.423259137942466,0.569396583,0.286555373
"Chivi","2011",0.377860509654795,0.603260464,0.261401295
"Chivi","2012",0.348972240043716,0.49638564,0.256940081
"Chivi","2013",0.346503096093151,0.467260296,0.246634262
"Chivi","2014",0.428200023339726,0.604172408,0.289293369
"Chivi","2015",0.374324028569863,0.528791023,0.279564145
"Chivi","2016",0.361149095396175,0.552108799,0.239397088
"Chivi","2017",0.463448554268493,0.63760105,0.305288728
"Chivi","2018",0.417459955509589,0.59104562,0.295926491
"Chivi","2019",0.37745153279726,0.548330728,0.270388599
"Chivi","2020",0.385888629385246,0.53948121,0.24164856
"Chivi","2021",0.448726102914835,0.641588023,0.303604122
"Gokwe North","2000",0.434351831908475,0.66362217,0.259342729
"Gokwe North","2001",0.465202186699164,0.667280478,0.276016478
"Gokwe North","2002",0.381961340950685,0.604280128,0.248240122
"Gokwe North","2003",0.394009457243836,0.617294856,0.258616352
"Gokwe North","2004",0.44370342234153,0.658800265,0.265020139
"Gokwe North","2005",0.387667586942466,0.655506928,0.243697162
"Gokwe North","2006",0.468508629846575,0.712902333,0.281902486
"Gokwe North","2007",0.411904413413699,0.652191433,0.254894449
"Gokwe North","2008",0.44987724952459,0.687708861,0.263793863
"Gokwe North","2009",0.471831214224658,0.680122525,0.272477562
"Gokwe North","2010",0.462901610931507,0.674044074,0.272033798
"Gokwe North","2011",0.453076578126027,0.703100521,0.273327464
"Gokwe North","2012",0.434879645912568,0.665653428,0.275784303
"Gokwe North","2013",0.423218711739726,0.694992009,0.270758564
"Gokwe North","2014",0.444234587153425,0.708868938,0.264008765
"Gokwe North","2015",0.438984044821918,0.662082672,0.263573353
"Gokwe North","2016",0.434251537715847,0.668214315,0.266706168
"Gokwe North","2017",0.497631783786301,0.729986638,0.294232654
"Gokwe North","2018",0.45463132860274,0.695296192,0.278643598
"Gokwe North","2019",0.394682508238356,0.657514336,0.252892977
"Gokwe North","2020",0.417332960032787,0.662388993,0.268979517
"Gokwe North","2021",0.461857836357143,0.72285353,0.29029897
"Gokwe South","2000",0.4389482538,0.632434503,0.297608656
"Gokwe South","2001",0.461347970197772,0.680193661,0.30746813
"Gokwe South","2002",0.405143420983562,0.578638979,0.286024727
"Gokwe South","2003",0.40110612750137,0.585394284,0.271446721
"Gokwe South","2004",0.438711872363388,0.609170427,0.285087984
"Gokwe South","2005",0.395089574627397,0.588160334,0.267950948
"Gokwe South","2006",0.456610120339726,0.658390027,0.292878866
"Gokwe South","2007",0.400318996619178,0.552916618,0.276146579
"Gokwe South","2008",0.438474693286885,0.62970636,0.294766588
"Gokwe South","2009",0.457945611383562,0.645531141,0.303111808
"Gokwe South","2010",0.452883415416438,0.644548573,0.292301087
"Gokwe South","2011",0.438506193224658,0.637789035,0.290454025
"Gokwe South","2012",0.418288450846995,0.614279718,0.293486131
"Gokwe South","2013",0.428677736717808,0.626042444,0.2908682
"Gokwe South","2014",0.437901430860274,0.645629959,0.290006039
"Gokwe South","2015",0.417437430879452,0.602187862,0.282388134
"Gokwe South","2016",0.41964209831694,0.640850554,0.279315951
"Gokwe South","2017",0.471014823912329,0.660639624,0.311475836
"Gokwe South","2018",0.43731098479726,0.630929242,0.295743487
"Gokwe South","2019",0.408762254654795,0.632270458,0.276666078
"Gokwe South","2020",0.421157227453552,0.622285719,0.279998745
"Gokwe South","2021",0.449718453175824,0.664267089,0.307542489
"Goromonzi","2000",0.464798304471186,0.617722434,0.340134008
"Goromonzi","2001",0.45935463847619,0.626387566,0.33403498
"Goromonzi","2002",0.433713448082192,0.615785882,0.302785686
"Goromonzi","2003",0.449218930873973,0.61452227,0.319247645
"Goromonzi","2004",0.470632580595628,0.649275264,0.318568888
"Goromonzi","2005",0.444518045054795,0.641202182,0.29720055
"Goromonzi","2006",0.473826018515069,0.681120771,0.320257328
