"District","Year","AveragePRECIP","MaxPRECIP","MinPRECIP"
"Chiredzi","2009",39.8896327446997,114.5645857896,1.10299765111233
"Chiredzi","2010",52.6991990426018,170.631148050287,0.197333965606944
"Chiredzi","2011",43.2540194801377,187.177274293175,0.19809828471502
"Chiredzi","2012",22.9363225551794,61.0036183450736,0.000185533252956435
"Chiredzi","2013",53.3971718125163,312.51493883764,1.15181645474022
"Chiredzi","2014",61.966997872402,207.050662864248,0.849018604953672
"Chiredzi","2015",22.51500431772,60.3938584083582,0.0537509671591026
"Chiredzi","2016",36.7214126999822,164.71703519266,0.380308227090166
"Chiredzi","2017",60.3523887210833,189.800190001551,0.903858026254502
"Chiredzi","2018",40.6482100409971,232.662895948396,0.405191489375098
"Chiredzi","2019",23.6263740446377,81.4803836016679,0.0362148395082092
"Chirumhanzu","2000",12.6773586312663,34.5307511721172,0.189011822998416
"Chirumhanzu","2001",24.4956047471579,92.1841242631276,0.0518801447290267
"Chirumhanzu","2002",10.1276540777947,32.4499910885213,0.23350780149625
"Chirumhanzu","2003",17.7253584462527,64.3068798820178,0.169731250827488
"Chirumhanzu","2004",20.5385444185716,55.8901881171208,0.235363049951254
"Chirumhanzu","2005",17.4743745969869,91.0032085234044,0.129772705659693
"Chirumhanzu","2006",15.7166080418239,54.895595795968,0.129099122087549
"Chirumhanzu","2007",19.023365171119,104.988775466236,0.104521167616807
"Chirumhanzu","2008",15.4503246839583,75.3961517384239,0.0250549648873857
"Chirumhanzu","2009",14.3439442037398,38.9391394087497,0.0630351602077865
"Chirumhanzu","2010",16.2524170823494,46.6457212316055,0.166858348096995
"Chirumhanzu","2011",19.0409519802952,100.349074401341,0.00355681678803532
"Chirumhanzu","2012",11.5989124202131,39.5132153183806,0.000897726200791487
"Chirumhanzu","2013",15.6028552297268,59.4279109929122,0.147950942478572
"Chirumhanzu","2014",19.6235281725747,74.129980751463,0.000251856328673859
"Chirumhanzu","2015",11.0881770296063,25.5505444988316,0
"Chirumhanzu","2016",14.1007995265908,52.5005483802627,0.0542756940012195
"Chirumhanzu","2017",18.380276549749,67.4456536260306,0.0646992487536159
"Chirumhanzu","2018",16.0538364250219,91.2326384878626,0.00232750246867391
"Chirumhanzu","2019",8.23977152063617,34.689681586331,0
"Chivi","2000",8.38580774111313,23.9235918175356,0.247762206661077
"Chivi","2001",15.4233086313858,59.9849029085215,0.31003237725966
"Chivi","2002",5.98083219576263,20.3925787440702,0.349693602680996
"Chivi","2003",13.1966219643463,63.4201115820922,0.254283023327041
"Chivi","2004",11.9156113439139,32.5112052158982,0.479372852199309
"Chivi","2005",10.5527398056491,58.0773316925647,0.0353135890412993
"Chivi","2006",12.3300673999288,33.1878930051537,0.222150570251888
"Chivi","2007",12.489557160515,66.8958143491371,0.180705189482793
"Chivi","2008",7.226411601725,32.5286960244763,0.140595305626116
"Chivi","2009",8.39803219813834,22.7030388874458,0.210951687206341
"Chivi","2010",10.9843321090092,31.5398384678597,0.19054888460041
"Chivi","2011",10.7726357321883,55.8333990760878,0
"Chivi","2012",5.75844753797562,17.8672499629505,0.0792410828398858
